szezon_id,ev
1,2009
2,2008
3,2007
4,2006
5,2005
6,2004
7,2003
8,2002
9,2001
10,2000
11,1999
12,1998
13,1997
14,1996
15,1995
16,1994
17,1993
18,1992
19,1991
20,1990
21,2010
22,1989
23,1988
24,1987
25,1986
26,1985
27,1984
28,1983
29,1982
30,1981
31,1980
32,1979
33,1978
34,1977
35,1976
36,1975
37,1974
38,1973
39,1972
40,1971
41,1970
42,1969
43,1968
44,1967
45,1966
46,1965
47,1964
48,1963
49,1962
50,1961
51,1960
52,1959
53,1958
54,1957
55,1956
56,1955
57,1954
58,1953
59,1952
60,1951
61,1950
62,2011
63,2012
64,2013
65,2014
66,2015
67,2016
68,2017
69,2018
70,2019
71,2020
72,2021
73,2022